"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","1,088.1","100.0","0.7","1,117.9","100.0","0.7","29.8","2.7","","0"
"Management occupations","=""11-0000""","Summary","126.5","11.6","1.0","131.0","11.7","1.0","4.5","3.6","2","1"
"Top executives","=""11-1000""","Summary","27.6","2.5","0.7","27.6","2.5","0.7","0.1","0.3","3","2"
"Chief executives","=""11-1011""","Line Item","2.1","0.2","0.8","1.9","0.2","0.7","-0.3","-12.9","4","3"
"General and operations managers","=""11-1021""","Line Item","25.4","2.3","0.7","25.8","2.3","0.7","0.3","1.4","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","18.1","1.7","1.7","18.4","1.6","1.7","0.3","1.8","7","2"
"Advertising and promotions managers","=""11-2011""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","4.5","8","3"
"Marketing and sales managers","=""11-2020""","Summary","17.6","1.6","1.9","17.9","1.6","1.9","0.3","1.8","9","3"
"Marketing managers","=""11-2021""","Line Item","6.9","0.6","1.9","7.0","0.6","1.8","0.1","1.7","10","4"
"Sales managers","=""11-2022""","Line Item","10.7","1.0","1.9","10.9","1.0","1.9","0.2","1.8","11","4"
"Public relations and fundraising managers","=""11-2030""","Summary","0.4","0.0","0.4","0.4","0.0","0.4","0.0","1.1","12","3"
"Public relations managers","=""11-2032""","Line Item","0.4","0.0","0.6","0.4","0.0","0.5","0.0","1.1","13","4"
"Operations specialties managers","=""11-3000""","Summary","48.9","4.5","2.0","52.1","4.7","1.9","3.2","6.5","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","2.9","0.3","0.8","3.0","0.3","0.8","0.1","2.9","16","3"
"Administrative services managers","=""11-3012""","Line Item","1.4","0.1","0.5","1.4","0.1","0.5","0.0","2.4","17","4"
"Facilities managers","=""11-3013""","Line Item","1.5","0.1","1.2","1.6","0.1","1.2","0.1","3.3","18","4"
"Computer and information systems managers","=""11-3021""","Line Item","15.6","1.4","2.8","17.0","1.5","2.6","1.4","9.1","19","3"
"Financial managers","=""11-3031""","Line Item","7.6","0.7","1.0","8.6","0.8","0.9","1.0","12.7","20","3"
"Industrial production managers","=""11-3051""","Line Item","12.7","1.2","5.7","13.2","1.2","5.8","0.4","3.5","21","3"
"Purchasing managers","=""11-3061""","Line Item","4.0","0.4","5.1","4.1","0.4","5.0","0.1","2.7","22","3"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","2.7","0.2","1.5","2.8","0.2","1.4","0.1","2.7","23","3"
"Compensation and benefits managers","=""11-3111""","Line Item","0.2","0.0","1.2","0.2","0.0","1.2","0.0","-2.3","24","3"
"Human resources managers","=""11-3121""","Line Item","2.6","0.2","1.4","2.7","0.2","1.3","0.1","2.8","25","3"
"Training and development managers","=""11-3131""","Line Item","0.5","0.0","1.2","0.5","0.0","1.2","0.0","2.2","26","3"
"Other management occupations","=""11-9000""","Summary","31.9","2.9","0.6","32.9","2.9","0.6","0.9","3.0","27","2"
"Construction managers","=""11-9021""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","9.1","29","3"
"Architectural and engineering managers","=""11-9041""","Line Item","22.2","2.0","11.0","23.0","2.1","10.9","0.8","3.5","35","3"
"Medical and health services managers","=""11-9111""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","21.2","41","3"
"Natural sciences managers","=""11-9121""","Line Item","0.7","0.1","0.8","0.7","0.1","0.8","0.0","1.1","42","3"
"Property, real estate, and community association managers","=""11-9141""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","6.4","44","3"
"Managers, all other","=""11-9199""","Line Item","8.7","0.8","0.7","8.8","0.8","0.7","0.1","1.4","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","97.5","9.0","0.9","99.5","8.9","0.9","2.0","2.0","51","1"
"Business operations specialists","=""13-1000""","Summary","77.6","7.1","1.1","79.1","7.1","1.0","1.5","2.0","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","17.6","1.6","3.6","16.3","1.5","3.6","-1.3","-7.3","54","3"
"Compliance officers","=""13-1041""","Line Item","3.2","0.3","0.8","3.2","0.3","0.8","0.1","1.8","58","3"
"Cost estimators","=""13-1051""","Line Item","1.1","0.1","0.5","1.1","0.1","0.5","0.0","-1.4","59","3"
"Human resources workers","=""13-1070""","Summary","6.7","0.6","0.7","6.8","0.6","0.7","0.0","0.6","60","3"
"Human resources specialists","=""13-1071""","Line Item","6.6","0.6","0.8","6.7","0.6","0.7","0.0","0.6","61","4"
"Labor relations specialists","=""13-1075""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","-1.3","63","4"
"Logisticians and project management specialists","=""13-1080""","Summary","19.7","1.8","1.8","21.2","1.9","1.8","1.5","7.7","64","3"
"Logisticians","=""13-1081""","Line Item","8.0","0.7","3.8","9.2","0.8","3.7","1.2","14.9","65","4"
"Project management specialists","=""13-1082""","Line Item","11.8","1.1","1.3","12.1","1.1","1.3","0.3","2.7","66","4"
"Management analysts","=""13-1111""","Line Item","4.7","0.4","0.5","4.7","0.4","0.4","0.1","1.8","67","3"
"Meeting, convention, and event planners","=""13-1121""","Line Item","0.2","0.0","0.2","0.2","0.0","0.2","0.0","1.2","68","3"
"Compensation, benefits, and job analysis specialists","=""13-1141""","Line Item","0.6","0.1","0.6","0.6","0.1","0.6","0.0","3.0","70","3"
"Training and development specialists","=""13-1151""","Line Item","2.9","0.3","0.7","2.9","0.3","0.7","0.1","3.4","71","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","9.2","0.8","1.1","10.0","0.9","1.0","0.8","8.1","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","11.7","1.1","1.0","11.9","1.1","1.0","0.3","2.2","73","3"
"Financial specialists","=""13-2000""","Summary","19.9","1.8","0.6","20.4","1.8","0.6","0.5","2.4","74","2"
"Accountants and auditors","=""13-2011""","Line Item","13.3","1.2","0.9","13.6","1.2","0.8","0.3","2.3","75","3"
"Budget analysts","=""13-2031""","Line Item","1.3","0.1","2.5","1.3","0.1","2.4","0.0","0.5","77","3"
"Credit analysts","=""13-2041""","Line Item","0.2","0.0","0.2","0.1","0.0","0.2","0.0","-8.7","78","3"
"Financial analysts and advisors","=""13-2050""","Summary","4.4","0.4","0.5","4.6","0.4","0.5","0.2","3.7","79","3"
"Financial and investment analysts","=""13-2051""","Line Item","4.4","0.4","1.4","4.5","0.4","1.3","0.2","3.8","80","4"
"Financial risk specialists","=""13-2054""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","-0.5","83","4"
"Financial specialists, all other","=""13-2099""","Line Item","0.7","0.1","0.5","0.7","0.1","0.5","0.0","1.9","91","3"
"Computer and mathematical occupations","=""15-0000""","Summary","142.6","13.1","2.7","158.5","14.2","2.6","15.8","11.1","92","1"
"Computer occupations","=""15-1200""","Summary","138.9","12.8","2.8","153.9","13.8","2.7","15.0","10.8","93","2"
"Computer and information analysts","=""15-1210""","Summary","11.5","1.1","1.6","12.3","1.1","1.5","0.8","6.5","94","3"
